entry,year,genre,source,a,b,c,text,
142,1867,FIC,May-Day and,A,B,C,"  the kinds. Not less the ambitious botanist sought plants, Orchis and gentian, fern, and long whip-scirpus, Rosy polygonum, lake-margin's pride, Hypnum and hydnum",
571,1867,FIC,Hesperia,A,B,C,"  forms and secrets sleep? LXXXVI. Gigantic Sauri, lizards, bats, and fern, Embalmed in rock with tortoise, bird, and shell, Wrecks of an",
1,1868,FIC,WorldMask,A,B,C,"  GalldoveAside Dared I but speak. Oh, furies! should she forget herself. Fern. Fernwood Chance likenesses are strange. I knew a maid, a simple country",
10,1868,FIC,WorldMask,A,B,C,"  Teresa Cespo A sorry compliment. Gal. Galldove Aside Brava. Well played! Fern. Fernwood Thus was it. Far away, in Italy -- Ter. Teresa",
11,1868,FIC,WorldMask,A,B,C,"  the yawning pit spout up their flames, and sear you to the bone! Fern. Fernwood That's right! The fiends you call for, show what help",
35,1868,FIC,WorldMask,A,B,C,"  frowns at the bare thought -- your friend -- your true friend. Fernwood! Fern. Fernwood Aside He catches at a straw. -- Of course not, Mr.",
36,1868,FIC,WorldMask,A,B,C,"  W. Lady Willburg Introducing them My friend, Mr. Fernwood, Countess di Cespo. Fern. Fernwood Good Heaven, as I feared! Lady W. Lady Willburg Mr. Fernwood",
65,1868,FIC,WorldMask,A,B,C,"  that I might learn much of one of my nephews at this detestable place. Fern. Fernwood Ha! Galldove starts and stares at him I see, I see",
70,1868,FIC,WorldMask,A,B,C,"  with the slammed door hurled me upon the pavement of her mother's house. Fern. Fernwood Her mother's house, not hers. Ryl. Rylton True,",
78,1868,FIC,WorldMask,A,B,C,"  him think his worst; the whole world does not lie within his park. Fern. Fernwood And you too think your worst, and then to better thoughts.",
114,1868,FIC,WorldMask,A,B,C,  basely! Mercy! Who are you that draw these tears from me? Weeps Fern. Fernwood A friend -- that sacred name stands next to His who is the,
127,1868,FIC,WorldMask,A,B,C,"  . Galldove You do not know me. You are in danger, sir. Fern. Fernwood What, from your tongue? Dare you use any weapon but the",
131,1868,FIC,WorldMask,A,B,C,"  . Fern. Fernwood From Italy! What part? Ryl. Rylton Taranto. Fern. Fernwood So! your cousin? Ryl. Rylton Heavens! Fernwood, what",
145,1868,FIC,WorldMask,A,B,C,"  feet Oh, pity, pity! He is so weak, so fallen! Fern. Fernwood Teresa, back! Passes her over to L.H. Ter. Teresa Cespo",
226,1868,FIC,WorldMask,A,B,C,  ? Gal. Galldove No; you have acted as I would have you. Fern. Fernwood As ide Galldove's first truth. Ryl. Rylton That is cheering,
245,1868,FIC,WorldMask,A,B,C,"  Aside My home, my home! Gal. Galldove Aside to her Teresa! Fern. Fernwood The maiden's father died; her mother drooped, And followed her",
262,1868,FIC,WorldMask,A,B,C,  I hope -- that all the nice little trick was mine and Galldove's. Fern. Fernwood That will do. Release him. Exit L.H.W.E. Fleet and Officers One,
289,1868,FIC,WorldMask,A,B,C,  is trembling in the scales of fate! Gal. Galldove This is outrageous! Fern. Fernwood Pardon me again: You broke upon my story. Thus was it,
300,1868,FIC,WorldMask,A,B,C,"  Gal. Galldove Then make what you please of her. Make her your -- Fern. Fernwood Had that word come out, I would have torn your tongue out",
342,1868,FIC,WorldMask,A,B,C,"  , you might forget it! Ter. Teresa Cespo Your thoughts wander again. Fern. Fernwood Ay, now they wander to a happy maiden who sang from Tasso",
363,1868,FIC,WorldMask,A,B,C,"  as stainless as the Heaven which hears my solemn declaration. Sinks on her knees Fern. Fernwood Leap to my heart, and let it welcome you! No,",
365,1868,FIC,WorldMask,A,B,C,"  hope. Gal. Galldove Gods, sir, you'll drive me frantic! Fern. Fernwood I wish no harm to even you. You did not violate Teresa",
