entry,year,genre,source,a,b,c,text,
160,1897,FIC,ChoirInvisible,A,B,C,"  bison, the bear, and the elk have wisely abandoned theirs; and the cougar besets the deer. It was these stories that he remembered now and that filled",
37,1900,FIC,BambooTales,A,B,C,"  San Juan Hill. "" CONTENTS. How the Spaniards Campaigned in Luzon 7 "" Cougar "" Daly 19 A Dying Spaniard's Request 31 Benito 38 The Army Mule 65",
46,1900,FIC,BambooTales,A,B,C,"  riding on the cow-catcher, loaded rifles in hand, were Archie Fettin and "" Cougar "" Daly. This heavily guarded train sped on at a lively rate, through",
165,1900,FIC,BambooTales,A,B,C,"  to the honorable position of first lieutenant. "" "" COUGAR "" DALY. "" Cougar "" Daly's connection with the company had not extended two days till he was",
170,1900,FIC,BambooTales,A,B,C,"  fresher victim on whom this choleric officer could wreak his vengeance. Now came "" Cougar "" Daly, fresh from the Bowery, with the odor of stale beer and",
200,1900,FIC,BambooTales,A,B,C,"  that I have been promoted to the honorable position of first lieutenant. "" "" COUGAR "" DALY. "" Cougar "" Daly's connection with the company had not extended",
18,1910,FIC,DavePorterAtStar,A,B,C,"  hoped to carry off the slain deer while the young hunters slept. "" A cougar has been known to carry off a little child, "" said Dave. """,
35,1910,FIC,DavePorterAtStar,A,B,C,"  well! well! "" cried Sid Todd, after a look at the dead cougar. "" I reckon you youngsters know how to take care of yourselves. A",
128,1910,FIC,DavePorterAtStar,A,B,C,"  , Roger. I was reading about them in a natural history, and the cougar, mountain lion, puma, panther, and painter are all the same beast",
158,1910,FIC,DavePorterAtStar,A,B,C,"  of the trouble up the stream, and then related how they had shot the cougar, and exhibited the body of the slain beast. In the meantime they broiled",
145,1911,FIC,LostTrail,A,B,C,"  very straight or you will find yourself in trouble. "" The probability that a cougar is gathering his muscles on a limb with the intention of bounding down on one",
166,1911,FIC,LostTrail,A,B,C,"  The lad passed under the limbs staring unflinchingly aloft. When exactly beneath, the cougar was hidden for an instant from sight, but, recognizing the changing conditions,",
173,1911,FIC,LostTrail,A,B,C,"  DID The moment the young Kentuckian assumed this attitude, he became aware that the cougar had determined upon hostilities. With a rasping snarl he buried his claws in the",
52,1912,FIC,PluckOnLongTrail,A,B,C,"  so, when you don't know why. Of course you think bear and cougar. But we were not to be held up by any foolishness, and I",
149,1912,FIC,PluckOnLongTrail,A,B,C,"  . Jumped for him, and grabbed for him, sprawling out like a black cougar. Van Sant and I yelled, sharp; Ward dodged and tripped and went",
141,1914,FIC,WonderIslandBoys,A,B,C,  as it is familiarly known; and it is regarded by some authorities as the cougar. It inhabits the whole of America. Its home is among the branches of,
19,1921,FIC,SteveSteamEngine,A,B,C,  sand soft as velvet. His body was tense as a coiled spring. No cougar stalking its prey could have been more lithely wary. For the Ranger had found,
163,1921,FIC,SteveSteamEngine,A,B,C,"  collapse. The voice of Dinsmore boomed along the passageway. "" It's a cougar, girl. They've got a yell like the scream of lost souls.",
63,1932,FIC,GenevieveATale,A,B,C,"  "" Yes, I am an Indian. You see how I can hunt a cougar. Insult me again as you did just now and you will see how I",
85,1932,FIC,GenevieveATale,A,B,C,"  an Indian, was it not. "" Then setting his foot on the dead cougar he looked full into the eyes of the man who had called him a d",
105,1932,FIC,GenevieveATale,A,B,C,  . Into adventurehe flung himself with eager intrepidity. One night the dogs treed a cougar not far from the house and the men all turned out with their guns.,
159,1932,FIC,GenevieveATale,A,B,C,"  , some with torches, some with rifles, around the tree into which the cougar had been driven. It was hidden in the thick branches and they could not",
167,1932,FIC,GenevieveATale,A,B,C,  heard nerved him and he went on. The bending limb swayed down under the cougar and he stopped. Colonna had yet to come a little nearer. As he,
193,1932,FIC,GenevieveATale,A,B,C,"  farther. Driven to desperation, feeling its foot hold yielding beneath it, the cougar crouched for a spring. Colonna saw its body drawing together, its tail quivering",
57,1943,MAG,Time,A,B,C,"  and Mrs. Charles Henderson set out to do a little seining, encountered a young cougar along the way, cast their net, brought him back alive. # Sleepy",
125,1954,MAG,Time,A,B,C,  delivery schedules 60%. # GRUMMAN Aircraft has developed a deadlier version of its swept-wing Cougar (F9F-6) jet fighter for the Navy. The new plane has a longer,
119,1957,MAG,SportsIll,A,B,C,"  of the fourth period. On a stunning pass play from State's 13, Cougar End Jack Fanning took a throw from Quarterback Bob Newman and ran for his life",
20,1958,MAG,Time,A,B,C,"  the press. Last week Fury's young friends ran into trouble with a predatory cougar because they had not completed their rifle safety course. But faithful as ever,",
184,1961,FIC,ChairmanBored,A,B,C,"  and as he went quietly along he worried about possible bears or maybe a snarling cougar or two, though he had heard of none in the vicinity; if there",
116,1962,NF,scan,A,B,C,"  black bear, wild deer, wolf and elk, while smaller animals were the cougar, rabbit, hare, squirrel, beaver, otter and marten. The latter",
192,1965,MAG,SportsIllustrated,A,B,C,"  Mexico's very first basketball rally. It was well advertised and complete with a Cougar effigy that was burned, but still only about 50 people showed up and a",
31,1968,MAG,Time,A,B,C,"  MUTUAL OF OMAHA'S WILD KINGDOM (NBC, 7-7:30 p.m.). A cougar and her three cubs migrate from high in the Rocky Mountains to a lower valley",
2,1969,MAG,SportsIll,A,B,C,"  , was the tournament's MVP. Rick Abrahamson of Oregon, of whom the Cougar scouting report said, "" Let him shoot, "" did just that and sank",
195,1969,MAG,SportsIll,A,B,C,"  . The practice on Tuesday was an example. Robertson, the smallest of the Cougar coaches, put someone else's size-12 shoes on his size-9 feet before walking out",
133,1970,NEWS,NYT-Reg,A,B,C,  money. A reporter gave him $5 so he could get his red 1969 Mercury Cougar convertible out of the garage for the 25-mile drive to the Westchester airport. Outside,
135,1970,FIC,Play:HappyBirthday,A,B,C,"  root. WOODLY Would you say that again? HAROLD Pacqualinincheewa root. Means "" cougar fang. "" Cures anything but a yellow streak down the back. p. 67",
48,1971,MAG,Time,A,B,C,"  Chevrolet's Camaro, Pontiac's Firebird, American Motors' Javelin, Mercury's Cougar, and the Dodge Charger (later called the Challenger). Soon the sports",
189,1971,MAG,PopSci,A,B,C,"  LTD, Thunderbird, Torino, Montego. and Mercury. The most powerful Mustang and Cougar option is the HO version of the 351 Cleveland engine. Top power for the",
27,1972,FIC,VisionsCody,A,B,C,"  velvet skirt, long legs -- BeauteousMexican girls with those full tits, lips and cougar eyes -- Colored cats in black shirts with light hats and checked coats -- Girls",
171,1972,NEWS,NYT-Reg,A,B,C,"  The reductions equal $50 on all series in the Maverick, Mustang, Comet and Cougar lines, the company said. On the Mavericks and Comets, the reductions average",
4,1975,FIC,OverOnDrySide,A,B,C,"  back an' tail a-lashin'. Now nobody in his right mind corners a cougar,' cause cornered they'll fight. But I wasn't of no mind",
14,1975,FIC,OverOnDrySide,A,B,C,"  figger he's like them. If I ain't seen a bear or a cougar, that don't mean they ain't here. "" She went over to",
95,1975,FIC,OverOnDrySide,A,B,C,"  cornered they'll fight. But I wasn't of no mind to let that cougar make a 17 | bait of one of our pigs, so I ups with",
